[(0, 2, True), (1, 2, True), (2, 2, True), (3, 2, True), (4, 2, True), (5, 2, True), (6, 2, True), (7, 2, True), (8, 2, True), (9, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 4 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 15.8s | Train: skip eval | Valid: time=  1.3s loss=0.932, TAw acc= 49.3% | *
| Epoch   2, time= 16.3s | Train: skip eval | Valid: time=  1.3s loss=0.790, TAw acc= 59.0% | *
| Epoch   3, time= 16.2s | Train: skip eval | Valid: time=  1.2s loss=0.681, TAw acc= 60.4% | *
| Epoch   4, time= 16.3s | Train: skip eval | Valid: time=  1.3s loss=0.706, TAw acc= 63.4% |
| Epoch   5, time= 16.0s | Train: skip eval | Valid: time=  1.3s loss=0.650, TAw acc= 68.7% | *
| Epoch   6, time= 16.1s | Train: skip eval | Valid: time=  1.3s loss=0.492, TAw acc= 80.6% | *
| Epoch   7, time= 16.1s | Train: skip eval | Valid: time=  1.3s loss=0.336, TAw acc= 86.6% | *
| Epoch   8, time= 16.2s | Train: skip eval | Valid: time=  1.3s loss=0.311, TAw acc= 85.8% | *
| Epoch   9, time= 16.5s | Train: skip eval | Valid: time=  1.3s loss=0.206, TAw acc= 89.6% | *
| Epoch  10, time= 16.3s | Train: skip eval | Valid: time=  1.3s loss=0.214, TAw acc= 90.3% |
| Epoch  11, time= 16.7s | Train: skip eval | Valid: time=  1.3s loss=0.192, TAw acc= 91.0% | *
| Epoch  12, time= 16.6s | Train: skip eval | Valid: time=  1.3s loss=0.219, TAw acc= 91.0% |
| Epoch  13, time= 16.7s | Train: skip eval | Valid: time=  1.3s loss=0.152, TAw acc= 92.5% | *
| Epoch  14, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.167, TAw acc= 93.3% |
| Epoch  15, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.189, TAw acc= 93.3% |
| Epoch  16, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.186, TAw acc= 94.0% |
| Epoch  17, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.646, TAw acc= 82.8% |
| Epoch  18, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.106, TAw acc= 97.0% | *
| Epoch  19, time= 16.6s | Train: skip eval | Valid: time=  1.3s loss=0.121, TAw acc= 95.5% |
| Epoch  20, time= 16.5s | Train: skip eval | Valid: time=  1.3s loss=0.088, TAw acc= 96.3% | *
| Epoch  21, time= 17.0s | Train: skip eval | Valid: time=  1.3s loss=0.129, TAw acc= 94.8% |
| Epoch  22, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.076, TAw acc= 96.3% | *
| Epoch  23, time= 16.7s | Train: skip eval | Valid: time=  1.3s loss=0.109, TAw acc= 94.8% |
| Epoch  24, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.078, TAw acc= 97.8% |
| Epoch  25, time= 16.7s | Train: skip eval | Valid: time=  1.3s loss=0.090, TAw acc= 96.3% |
| Epoch  26, time= 17.0s | Train: skip eval | Valid: time=  1.3s loss=0.114, TAw acc= 94.0% |
| Epoch  27, time= 16.6s | Train: skip eval | Valid: time=  1.3s loss=0.100, TAw acc= 96.3% |
| Epoch  28, time= 16.7s | Train: skip eval | Valid: time=  1.3s loss=0.209, TAw acc= 91.0% |
| Epoch  29, time= 17.0s | Train: skip eval | Valid: time=  1.3s loss=0.075, TAw acc= 97.8% | *
| Epoch  30, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.059, TAw acc= 97.0% | *
| Epoch  31, time= 17.0s | Train: skip eval | Valid: time=  1.3s loss=0.080, TAw acc= 97.0% |
| Epoch  32, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.094, TAw acc= 95.5% |
| Epoch  33, time= 17.0s | Train: skip eval | Valid: time=  1.3s loss=0.140, TAw acc= 94.0% |
| Epoch  34, time= 16.7s | Train: skip eval | Valid: time=  1.3s loss=0.108, TAw acc= 96.3% |
| Epoch  35, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.127, TAw acc= 96.3% |
| Epoch  36, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.080, TAw acc= 97.0% |
| Epoch  37, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.105, TAw acc= 96.3% |
| Epoch  38, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.112, TAw acc= 95.5% |
| Epoch  39, time= 16.6s | Train: skip eval | Valid: time=  1.3s loss=0.087, TAw acc= 97.8% |
| Epoch  40, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.085, TAw acc= 97.8% |
| Epoch  41, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.108, TAw acc= 97.8% |
| Epoch  42, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.136, TAw acc= 94.0% |
| Epoch  43, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.130, TAw acc= 95.5% |
| Epoch  44, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.083, TAw acc= 97.0% |
| Epoch  45, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.139, TAw acc= 94.8% |
| Epoch  46, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.080, TAw acc= 97.0% |
| Epoch  47, time= 16.7s | Train: skip eval | Valid: time=  1.3s loss=0.101, TAw acc= 96.3% |
| Epoch  48, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.082, TAw acc= 97.8% |
| Epoch  49, time= 16.7s | Train: skip eval | Valid: time=  1.3s loss=0.099, TAw acc= 97.0% |
| Epoch  50, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.130, TAw acc= 94.0% |
